sigma_tot_up52,,sigma_tot_up72,,sigma_HI,,sigma_H2,,vcirc_kam,,vcirc_koch,,sigma_sfr,
r kpc,sigma_tot_up52,r kpc,sigma_tot_up72,r kpc,sigma_HI,r kpc,sigma_H2,r kpc,kms_vcirc_Kam,arcsec_r,kms_vcirc_Koch,r kpc,sigma_sfr
0.649935006,187.7811679,0.649935006,260.0046941,,,,,,,,,,
0.651934807,187.5706145,0.651934807,259.7131585,,,,,,,,,,
0.653934607,187.3602971,0.653934607,259.4219498,,,,,,,,,,
0.655934407,187.1502155,0.655934407,259.1310676,,,,,,,,,,
0.657934207,186.9403695,0.657934207,258.8405116,,,,,,,,,,
0.659934007,186.7307588,0.659934007,258.5502814,,,,,,,,,,
0.661933807,186.5213831,0.661933807,258.2603766,,,,,,,,,,
0.663933607,186.3122422,0.663933607,257.9707968,,,,,,,,,,
0.665933407,186.1033357,0.665933407,257.6815418,,,,,,,,,,
0.667933207,185.8946636,0.667933207,257.3926111,,,,,,,,,,
0.669933007,185.6862254,0.669933007,257.1040044,,,,,,,,,,
0.671932807,185.4780209,0.671932807,256.8157212,,,,,,,,,,
0.673932607,185.2700499,0.673932607,256.5277613,,,,,,,,,,
0.675932407,185.062312,0.675932407,256.2401243,,,,,,,,,,
0.677932207,184.8548071,0.677932207,255.9528099,,,,,,,,,,
0.679932007,184.6475349,0.679932007,255.6658175,,,,,,,,,,
0.681931807,184.440495,0.681931807,255.379147,,,,,,,,,,
0.683931607,184.2336874,0.683931607,255.0927979,,,,,,,,,,
0.685931407,184.0271116,0.685931407,254.8067699,,,,,,,,,,
0.687931207,183.8207674,0.687931207,254.5210626,,,,,,,,,,
0.689931007,183.6146546,0.689931007,254.2356756,,,,,,,,,,
0.691930807,183.4087729,0.691930807,253.9506087,,,,,,,,,,
0.693930607,183.2031221,0.693930607,253.6658613,,,,,,,,,,
